# z[m]  mass[kg]  radius[m]  G[-]  rho_org[kg/m3]  age[days]  skin_width[m]
  3.71529842E+04   1.05000000E-12   6.34065867E-06   5.06249981E-01   1.12993041E+03   2.50000000E-01   3.13070034E-06
  6.59541331E+04   1.05000000E-12   6.86869501E-06   7.61578025E-01   1.38555214E+03   2.50000000E-01   1.63764783E-06
  1.01446011E+05   1.05000000E-12   7.41193287E-06   7.47300792E-01   1.05654601E+03   2.50000000E-01   1.87298956E-06
  4.31128471E+04   1.05000000E-12   6.26213582E-06   6.16843614E-01   1.33384464E+03   2.50000000E-01   2.39937733E-06
  4.48172842E+04   1.05000000E-12   1.21156828E-05   9.14819520E-01   6.01330985E+02   2.50000000E-01   1.03201968E-06
  2.78509845E+04   1.05000000E-12   7.77004669E-06   7.18964902E-01   8.50396839E+02   2.50000000E-01   2.18365584E-06
  4.18145881E+04   1.05000000E-12   6.84665572E-06   6.04434233E-01   1.00237426E+03   2.50000000E-01   2.70830262E-06
  3.87765403E+04   1.05000000E-12   1.25543863E-05   9.17277330E-01   5.55122893E+02   2.50000000E-01   1.03853236E-06
  5.20470646E+04   1.05000000E-12   7.75056893E-06   3.00582655E-01   5.53423326E+02   2.50000000E-01   5.42088234E-06
  2.84618167E+04   1.05000000E-12   7.25855170E-06   8.23051183E-01   1.48143439E+03   2.50000000E-01   1.28439213E-06
  6.48870088E+04   1.05000000E-12   5.65729364E-06   8.05877802E-02   1.38516619E+03   2.50000000E-01   5.20138490E-06
  2.02114348E+04   1.05000000E-12   6.74272444E-06   2.60680805E-01   8.32447189E+02   2.50000000E-01   4.98502560E-06
  6.07223386E+04   1.05000000E-12   6.79687770E-06   5.18851976E-01   9.27922462E+02   2.50000000E-01   3.27030427E-06
  6.20434189E+04   1.05000000E-12   5.94189227E-06   4.05570271E-01   1.28029569E+03   2.50000000E-01   3.53203742E-06
  3.76227367E+04   1.05000000E-12   6.88307710E-06   2.08970384E-01   7.75772020E+02   2.50000000E-01   5.44471784E-06
  5.53586583E+04   1.05000000E-12   5.69587261E-06   3.11040579E-01   1.39858655E+03   2.50000000E-01   3.92422510E-06
  9.26895758E+04   1.05000000E-12   7.90050301E-06   5.97592138E-01   6.46231320E+02   2.50000000E-01   3.17922452E-06
  9.97380680E+04   1.05000000E-12   8.27110727E-06   8.85145778E-01   1.44535521E+03   2.50000000E-01   9.49971594E-07
  9.70265563E+04   1.05000000E-12   6.86131669E-06   1.44852799E-01   7.78395430E+02   2.50000000E-01   5.86743576E-06
  4.62146342E+04   1.05000000E-12   7.40359097E-06   4.54850197E-01   6.81859340E+02   2.50000000E-01   4.03606615E-06
  6.78019548E+04   1.05000000E-12   6.04155371E-06   5.35757740E-01   1.34329835E+03   2.50000000E-01   2.80474455E-06
  5.15314816E+04   1.05000000E-12   5.87981882E-06   7.71141036E-02   1.23369572E+03   2.50000000E-01   5.42640186E-06
  3.90978555E+04   1.05000000E-12   7.09252699E-06   4.17091234E-01   7.57550442E+02   2.50000000E-01   4.13429616E-06
  4.68529370E+04   1.05000000E-12   8.54942435E-06   7.09248324E-01   6.23630651E+02   2.50000000E-01   2.48575946E-06
  8.69060113E+04   1.05000000E-12   9.97485321E-06   9.33361461E-01   1.35143871E+03   2.50000000E-01   6.64709645E-07
  5.64955685E+04   1.05000000E-12   7.71676299E-06   7.73362669E-01   1.01496094E+03   2.50000000E-01   1.74890657E-06
  9.81326838E+04   1.05000000E-12   5.77042257E-06   1.84541010E-01   1.31285216E+03   2.50000000E-01   4.70554296E-06
  5.32693791E+04   1.05000000E-12   6.33132363E-06   2.02467967E-01   9.95948219E+02   2.50000000E-01   5.04943341E-06
  2.05075343E+04   1.05000000E-12   6.41114578E-06   5.93707984E-01   1.20300827E+03   2.50000000E-01   2.60479734E-06
  6.18043024E+04   1.05000000E-12   5.83955226E-06   2.07935963E-01   1.27023557E+03   2.50000000E-01   4.62529933E-06
  8.67214923E+04   1.10250000E-12   5.84805799E-06   1.23665212E-01   1.31849079E+03   5.00000000E-01   5.12485666E-06
  7.93361445E+04   1.10250000E-12   8.48772880E-06   5.60369351E-01   5.22359106E+02   5.00000000E-01   3.73146572E-06
  4.33593072E+04   1.10250000E-12   6.56940226E-06   1.00964920E-01   9.29307925E+02   5.00000000E-01   5.90612308E-06
  8.68637765E+04   1.10250000E-12   6.47229401E-06   3.96913342E-01   1.03551837E+03   5.00000000E-01   3.90335416E-06
  6.84575970E+04   1.10250000E-12   7.64137677E-06   6.76294873E-01   8.54079689E+02   5.00000000E-01   2.47355284E-06
  7.29497948E+04   1.10250000E-12   9.52867371E-06   9.21493887E-01   1.39864752E+03   5.00000000E-01   7.48059140E-07
