# z[m]  mass[kg]  radius[m]  G[-]  rho_org[kg/m3]  age[days]  skin_width[m]
  9.90902695E+04   1.27628156E-12   6.89787237E-06   1.00964920E-01   9.29307925E+02   1.25000000E+00   6.20142924E-06
  9.86541978E+04   1.27628156E-12   7.45052637E-06   7.68464853E-01   1.34881250E+03   1.25000000E+00   1.72505872E-06
  1.04627992E+05   1.27628156E-12   6.37259270E-06   2.75600871E-01   1.20253357E+03   1.25000000E+00   4.61630060E-06
  1.02078713E+05   1.27628156E-12   6.47206546E-06   4.68436510E-01   1.25266583E+03   1.25000000E+00   3.44031370E-06
  1.00066533E+05   1.27628156E-12   8.43080116E-06   7.72434640E-01   9.43112818E+02   1.25000000E+00   1.91855830E-06
  1.01533763E+05   1.27628156E-12   8.58406303E-06   7.71453039E-01   8.90594887E+02   1.25000000E+00   1.96186152E-06
  9.66637622E+04   1.27628156E-12   7.54132113E-06   7.98672529E-01   1.44822872E+03   1.25000000E+00   1.51827511E-06
  1.04482451E+05   1.27628156E-12   6.45073157E-06   3.04467501E-01   1.16805941E+03   1.25000000E+00   4.48669344E-06
  1.04388125E+05   1.27628156E-12   8.29231951E-06   7.18964902E-01   8.50396839E+02   1.25000000E+00   2.33043283E-06
  1.04289545E+05   1.27628156E-12   7.74644378E-06   8.23051183E-01   1.48143439E+03   1.25000000E+00   1.37072406E-06
  9.56109126E+04   1.27628156E-12   7.19594458E-06   2.60680805E-01   8.32447189E+02   1.25000000E+00   5.32009995E-06
  9.53366055E+04   1.27628156E-12   6.84207847E-06   5.93707984E-01   1.20300827E+03   1.25000000E+00   2.77988186E-06
